epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.09248,1.84982,3.10652,1.18351,0.01035,0.83389,0.05821,0.024,1.67397,3.36572,1.14486,0.000627451,0.000627451,0.000627451
2,10.1411,1.87159,1.78877,1.12689,0.00954,0.76846,0.14217,0.06988,1.91685,3.13629,1.24342,0.00128131,0.00128131,0.00128131
3,13.4102,1.88671,1.48491,1.13754,0.00897,0.72148,0.19221,0.0865,1.92974,3.03226,1.30552,0.00192196,0.00192196,0.00192196
4,16.958,1.80962,1.38794,1.12864,0.91887,0.11403,0.45733,0.23271,1.70428,2.34593,1.26167,0.0019406,0.0019406,0.0019406
5,20.4866,1.78923,1.33894,1.1387,0.69079,0.3104,0.39738,0.17606,2.01384,2.1195,1.38823,0.0019208,0.0019208,0.0019208
6,23.7435,1.70278,1.30452,1.10768,0.66397,0.45421,0.4946,0.27658,1.64157,1.65836,1.17362,0.001901,0.001901,0.001901
7,26.8936,1.6238,1.2191,1.07115,0.71433,0.57047,0.63507,0.35917,1.58224,1.3788,1.11859,0.0018812,0.0018812,0.0018812
8,30.2119,1.64307,1.19606,1.06695,0.68772,0.52013,0.56878,0.31981,1.53559,1.35218,1.07194,0.0018614,0.0018614,0.0018614
9,33.8222,1.65736,1.18143,1.0696,0.73715,0.56936,0.63025,0.36502,1.53869,1.22214,1.12101,0.0018416,0.0018416,0.0018416
10,37.3079,1.63104,1.15278,1.05856,0.73115,0.57215,0.63961,0.37003,1.55733,1.22927,1.15132,0.0018218,0.0018218,0.0018218
11,40.9247,1.57566,1.16208,1.06168,0.77528,0.55201,0.63017,0.36058,1.53931,1.21405,1.1139,0.001802,0.001802,0.001802
12,44.4068,1.58009,1.13818,1.07924,0.77975,0.5604,0.64401,0.3821,1.48952,1.14317,1.09911,0.0017822,0.0017822,0.0017822
13,48.1194,1.53268,1.06872,1.0344,0.74325,0.578,0.64216,0.36849,1.55622,1.14358,1.10542,0.0017624,0.0017624,0.0017624
14,51.6393,1.5138,1.09654,1.02724,0.75313,0.61074,0.68341,0.39432,1.51495,1.1022,1.08359,0.0017426,0.0017426,0.0017426
15,55.5794,1.53445,1.08005,1.03825,0.7624,0.58893,0.66187,0.38379,1.49167,1.11859,1.07367,0.0017228,0.0017228,0.0017228
16,59.0766,1.49237,1.04449,1.03166,0.73882,0.63126,0.68972,0.3952,1.48035,1.0921,1.07277,0.001703,0.001703,0.001703
17,61.6937,1.47296,1.05185,1.03682,0.73421,0.60906,0.66905,0.39546,1.4697,1.09084,1.08185,0.0016832,0.0016832,0.0016832
18,64.1236,1.50544,1.05294,1.02483,0.76443,0.60979,0.65601,0.38809,1.47564,1.14291,1.07811,0.0016634,0.0016634,0.0016634
19,66.5587,1.41488,1.00043,0.99599,0.76003,0.6058,0.69068,0.39734,1.46877,1.08996,1.08627,0.0016436,0.0016436,0.0016436
20,68.9537,1.45797,1.00712,1.01648,0.75699,0.62919,0.68086,0.39338,1.46968,1.08447,1.07627,0.0016238,0.0016238,0.0016238
21,72.4937,1.49475,1.04906,1.0175,0.73949,0.61409,0.67596,0.38943,1.5095,1.10668,1.07252,0.001604,0.001604,0.001604
22,76.7022,1.46959,0.99652,1.00108,0.78462,0.59902,0.68755,0.40724,1.46263,1.06327,1.06445,0.0015842,0.0015842,0.0015842
23,80.775,1.55082,1.05221,1.00893,0.7915,0.62416,0.68193,0.39214,1.47158,1.07362,1.06538,0.0015644,0.0015644,0.0015644
24,83.7661,1.46064,0.99145,1.02577,0.80227,0.58546,0.68736,0.40951,1.46315,1.07194,1.06637,0.0015446,0.0015446,0.0015446
25,86.7316,1.47143,0.98405,1.00652,0.77125,0.58389,0.65704,0.39175,1.45075,1.12793,1.05058,0.0015248,0.0015248,0.0015248
26,89.74,1.46814,0.97419,1.01528,0.77749,0.63255,0.70808,0.42559,1.4091,0.994,1.04557,0.001505,0.001505,0.001505
27,93.0085,1.46832,0.9763,1.01386,0.75868,0.64353,0.69457,0.40204,1.4192,1.11558,1.04978,0.0014852,0.0014852,0.0014852
28,96.2237,1.38071,0.93642,0.9802,0.79964,0.58927,0.69755,0.41179,1.4409,1.06841,1.06342,0.0014654,0.0014654,0.0014654
29,99.8268,1.39666,0.9508,0.99432,0.71752,0.6606,0.68318,0.39828,1.47924,1.1011,1.09181,0.0014456,0.0014456,0.0014456
30,103.171,1.42717,0.92464,1.016,0.74177,0.65268,0.69451,0.41194,1.4296,1.04382,1.07038,0.0014258,0.0014258,0.0014258
31,106.574,1.40435,0.92058,0.99976,0.73831,0.62959,0.68986,0.40442,1.45252,1.0232,1.05117,0.001406,0.001406,0.001406
32,109.654,1.40218,0.91399,0.98459,0.78391,0.59228,0.70722,0.42169,1.42332,0.99496,1.0459,0.0013862,0.0013862,0.0013862
33,112.336,1.35461,0.91016,0.98305,0.75142,0.62248,0.70265,0.41475,1.42263,1.00434,1.0632,0.0013664,0.0013664,0.0013664
34,115.804,1.3619,0.89061,0.98126,0.81,0.58389,0.69674,0.41533,1.4361,1.01254,1.06064,0.0013466,0.0013466,0.0013466
35,119.067,1.39444,0.90791,0.96935,0.72318,0.65268,0.69653,0.39948,1.49034,1.06978,1.05549,0.0013268,0.0013268,0.0013268
